id,name,bodyPart,equipment,target,secondaryMuscles,difficulty,category,caloriesBurned,instructions,commonMistakes,image,videoUrl
1,Barbell Bench Press,chest,barbell,pectorals,"triceps, front deltoids",Intermediate,Strength,120,Lie flat on bench. Grip bar slightly wider than shoulder-width. Lower bar to mid-chest. Push explosively up.,"Bouncing bar off chest, flaring elbows out at 90 degrees.",https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=500,https://www.youtube.com/embed/rT7DgCr-3pg
2,Dumbbell Incline Bench Press,chest,dumbbell,upper pectorals,"triceps, front deltoids",Intermediate,Strength,110,Set bench to 30-45 degree incline. Press dumbbells straight up from upper chest level.,"Setting bench angle too high, turning it into a shoulder press.",https://images.unsplash.com/photo-1581009146145-b5ef050c2e1e?w=500,https://www.youtube.com/embed/8iPEnn-ltC8
3,Push-Up,chest,body weight,pectorals,"triceps, core, front deltoids",Beginner,Bodyweight,90,Place hands shoulder-width apart. Maintain straight body plank. Lower chest to floor and push back up.,"Sagging hips, head drooping down.",https://images.unsplash.com/photo-1598971639058-fab3c3109a00?w=500,https://www.youtube.com/embed/IODxDxX7oi4
4,Cable Chest Fly,chest,cable,pectorals,front deltoids,Intermediate,Hypertrophy,85,Stand in center of cable machine. Bring handles together in a hugging motion keeping elbow angle soft.,Bending elbows too much turning fly into press.,https://images.unsplash.com/photo-1534438327276-14e5300c3a48?w=500,https://www.youtube.com/embed/Iwe6AmxVf7o
5,Dumbbell Pullover,chest,dumbbell,"lats, pectorals","triceps, serratus anterior",Intermediate,Hypertrophy,95,Lie perpendicular across a flat bench. Hold dumbbell with both hands over chest. Lower weight back over head.,Bending knees excessively or letting hips sag.,https://images.unsplash.com/photo-1517838277536-f5f99be501cd?w=500,https://www.youtube.com/embed/FK4rHfWKEac
6,Barbell Deadlift,back,barbell,"glutes, spinal erectors","hamstrings, lats, forearms, core",Advanced,Strength,160,"Stand with feet hip-width under bar. Hinge at hips, grip bar, keep spine neutral. Drive through heels to stand upright.","Rounding lower back, jerking the bar off ground.",https://images.unsplash.com/photo-1517838277536-f5f99be501cd?w=500,https://www.youtube.com/embed/op9kVnSso6Q
7,Pull-Up,back,body weight,lats,"biceps, upper back, core",Intermediate,Bodyweight,100,Grip bar with palms facing away. Pull chest up to bar engaging lats. Lower down smoothly.,"Using momentum or swinging legs, partial reps.",https://images.unsplash.com/photo-1526506118085-60ce8714f8c5?w=500,https://www.youtube.com/embed/eGo4IYlbE5g
8,Bent-Over Barbell Row,back,barbell,"lats, rhomboids","biceps, rear deltoids, core",Intermediate,Strength,120,Hinge hips to 45 degrees. Pull barbell toward belly button keeping elbows close to body.,"Standing up too tall, using momentum.",https://images.unsplash.com/photo-1605296867304-46d5465a13f1?w=500,https://www.youtube.com/embed/FWJR5Ve8lWU
9,Lat Pulldown,back,cable,lats,"biceps, rear deltoids",Beginner,Hypertrophy,90,Sit at lat pulldown machine. Pull bar down to upper chest while squeezing shoulder blades.,"Leaning back excessively, pulling bar behind neck.",https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?w=500,https://www.youtube.com/embed/CAwf7n6Luuc
10,Single-Arm Dumbbell Row,back,dumbbell,"lats, rhomboids","biceps, rear delts",Beginner,Hypertrophy,85,"Support knee and hand on bench. Row dumbbell up to hip level, lower under control.","Rotating torso, twisting spine.",https://images.unsplash.com/photo-1581009146145-b5ef050c2e1e?w=500,https://www.youtube.com/embed/pYcpY20QaE8
11,Barbell Back Squat,legs,barbell,"quadriceps, glutes","hamstrings, calves, core",Intermediate,Strength,150,Place bar across upper traps. Hinge hips and bend knees until thighs parallel to floor. Drive up.,"Knees caving inward, lifting heels.",https://images.unsplash.com/photo-1574680096145-d05b474e2155?w=500,https://www.youtube.com/embed/ultWZbUMPL8
12,Romanian Deadlift,legs,barbell,"hamstrings, glutes","lower back, forearms",Intermediate,Strength,130,Hold bar at thigh level. Hinge hips back with slight knee bend until stretch felt in hamstrings.,"Rounding lower back, bending knees too much.",https://images.unsplash.com/photo-1534367507873-d2d7e24c797f?w=500,https://www.youtube.com/embed/JCXUYuzwNrM
13,Leg Press,legs,machine,"quadriceps, glutes",hamstrings,Beginner,Hypertrophy,110,"Place feet hip-width on sled. Lower platform toward chest to 90 degrees, press back up.","Locking knees at top, letting lower back lift off pad.",https://images.unsplash.com/photo-1517838277536-f5f99be501cd?w=500,https://www.youtube.com/embed/IZxyjW7MPJQ
