title,ingredients,state,diet,meal_time,dish_type,calories,protein,fat,carbs,sodium,nutrition_basis,slot_portion_g,calories_slot,protein_slot,fat_slot,carbs_slot,sodium_slot,calculation_notes
Egg Dosa,"Rice, parboiled, milled, Black gram, dal, Egg, poultry, whole, raw, Onion, big, Gingelly oil, Table salt (sodium from NaCl), Water",South India,non_vegetarian,breakfast,main,154.5,5.5,3.5,24.6,0.32500000000000001,per 100 g finished dish,200,309,11,7,49.2,0.65,Egg dosa; per 100 g finished dish.
Egg Dosa + Sambar,"Water, Table salt (sodium from NaCl), Onion, big, Egg, poultry, whole, raw, Black gram, dal, Rice, parboiled, milled, Gingelly oil, Chillies, red, Coriander seeds, Turmeric powder, Tamarind, pulp, Asafoetida, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves",South India,non_vegetarian,breakfast,main,114.3,4.4000000000000004,2.6,17.899999999999999,0.30199999999999999,per 100 g finished dish,200,228.6,8.8000000000000007,5.2,35.799999999999997,0.60399999999999998,Egg dosa and sambar combo; per 100 g finished dish.
Egg Uthappam,"Rice, raw, milled, Black gram, dal, Egg, poultry, whole, raw, Onion, big, Chillies, green - all varieties, Table salt (sodium from NaCl), Water, Gingelly oil",South India,non_vegetarian,breakfast,main,151.19999999999999,5.3,2.6,25.8,0.28100000000000003,per 100 g finished dish,200,302.39999999999998,10.6,5.2,51.6,0.56200000000000006,Egg uthappam with dosa batter and egg topping; per 100 g finished dish.
Egg Uthappam + Coconut Chutney,"Rice, raw, milled, Black gram, dal, Egg, poultry, whole, raw, Onion, big, Chillies, green - all varieties, Table salt (sodium from NaCl), Water, Gingelly oil, Coconut, kernel, fresh, Bengal gram, dal, Ginger, fresh, Curry leaves, Mustard seeds",South India,non_vegetarian,breakfast,condiment,158.1,4.5999999999999996,6.4,20.2,0.29099999999999998,per 100 g finished dish,200,316.2,9.1999999999999993,12.8,40.4,0.58199999999999996,Egg uthappam and coconut chutney combo; per 100 g finished dish.
Adai,"Rice, raw, milled, Bengal gram, dal, Red gram, dal, Black gram, dal, Green gram, dal, Onion, big, Chillies, red, Curry leaves, Gingelly oil, Table salt (sodium from NaCl), Water",South India,vegetarian,breakfast,main,172.1,6.9,3.1,28.3,0.39900000000000002,per 100 g finished dish,200,344.2,13.8,6.2,56.6,0.79800000000000004,Multi-dal adai; per 100 g finished dish.
Adai + Avial,"Rice, raw, milled, Water, Table salt (sodium from NaCl), Gingelly oil, Curry leaves, Chillies, red, Onion, big, Green gram, dal, Black gram, dal, Red gram, dal, Bengal gram, dal, Chillies, green - all varieties, Milk, whole, Cow, Turmeric powder, Cumin seeds, Coconut oil, Coconut, kernel, fresh, Drumstick, French beans, country, Carrot, orange, Ash gourd, Plantain, green",South India,vegetarian,breakfast,main,131.5,4.4000000000000004,4.5999999999999996,17.5,0.35499999999999998,per 100 g finished dish,200,263,8.8000000000000007,9.1999999999999993,35,0.71,Adai and avial combo; per 100 g finished dish.
Adai + Coconut Chutney,"Rice, raw, milled, Water, Table salt (sodium from NaCl), Gingelly oil, Curry leaves, Chillies, red, Onion, big, Green gram, dal, Black gram, dal, Red gram, dal, Bengal gram, dal, Coconut, kernel, fresh, Ginger, fresh, Chillies, green - all varieties, Mustard seeds",South India,vegetarian,breakfast,condiment,173.6,5.6,7.1,21.3,0.375,per 100 g finished dish,200,347.2,11.2,14.2,42.6,0.75,Adai and coconut chutney combo; per 100 g finished dish.
Appam,"Rice, raw, milled, Coconut, kernel, fresh, Black gram, dal, Table salt (sodium from NaCl), Water",South India,vegetarian,breakfast,main,138.30000000000001,3,4.0999999999999996,22,0.23300000000000001,per 100 g finished dish,200,276.60000000000002,6,8.1999999999999993,44,0.46600000000000003,Fermented appam batter model; per 100 g finished dish.
Appam + Vegetable Kurma,"Water, Table salt (sodium from NaCl), Black gram, dal, Coconut, kernel, fresh, Rice, raw, milled, Garlic, big cloves, Gingelly oil, Carrot, orange, Potato, brown skin, big, Turmeric powder, Peas, fresh, Tomato, ripe, local, Chillies, green - all varieties, Ginger, fresh, Cumin seeds, Onion, big, French beans, country",South India,vegetarian,breakfast,main,101.6,2.2000000000000002,3.7,14.5,0.21299999999999999,per 100 g finished dish,200,203.2,4.4000000000000004,7.4,29,0.42599999999999999,Appam and vegetable kurma combo; per 100 g finished dish.
Bajra Pongal,"Bajra, Green gram, dal, Ginger, fresh, Pepper, black, Cumin seeds, Ghee, Table salt (sodium from NaCl), Curry leaves, Water",South India,vegetarian,breakfast,main,108.1,4,2.8,16.100000000000001,0.253,per 100 g finished dish,200,216.2,8,5.6,32.200000000000003,0.50600000000000001,Millet pongal with bajra and moong dal; per 100 g finished dish.
Coconut Chutney,"Coconut, kernel, fresh, Bengal gram, dal, Chillies, green - all varieties, Ginger, fresh, Table salt (sodium from NaCl), Water, Mustard seeds, Gingelly oil, Curry leaves",South India,vegetarian,breakfast,condiment,177.4,2.4,16.7,4.5,0.31900000000000001,per 100 g finished dish,200,354.8,4.8,33.4,9,0.63800000000000001,Coconut chutney with tempering; per 100 g finished dish.
Dosa,"Rice, parboiled, milled, Black gram, dal, Table salt (sodium from NaCl), Gingelly oil, Water",South India,vegetarian,breakfast,main,159.1,4.5,2.1,29.8,0.28199999999999997,per 100 g finished dish,200,318.2,9,4.2,59.6,0.56399999999999995,Standard dosa batter with oil included; per 100 g finished dosa.
Dosa + Coconut Chutney,"Rice, parboiled, milled, Water, Gingelly oil, Table salt (sodium from NaCl), Black gram, dal, Coconut, kernel, fresh, Bengal gram, dal, Ginger, fresh, Chillies, green - all varieties, Curry leaves, Mustard seeds",South India,vegetarian,breakfast,condiment,164.5,3.9,6.4,22.3,0.29299999999999998,per 100 g finished dish,200,329,7.8,12.8,44.6,0.58599999999999997,Dosa and coconut chutney combo; per 100 g finished dish.
Dosa + Sambar,"Rice, parboiled, milled, Water, Gingelly oil, Table salt (sodium from NaCl), Black gram, dal, Chillies, red, Coriander seeds, Turmeric powder, Tamarind, pulp, Asafoetida, Onion, big, Drumstick, Red gram, dal, Mustard seeds, Tomato, ripe, local, Curry leaves",South India,vegetarian,breakfast,main,113.2,3.8,1.7,20,0.27600000000000002,per 100 g finished dish,200,226.4,7.6,3.4,40,0.55200000000000005,Dosa and sambar combo; per 100 g finished dish.
Dosa + Tomato Chutney,"Rice, parboiled, milled, Water, Gingelly oil, Table salt (sodium from NaCl), Black gram, dal, Curry leaves, Mustard seeds, Garlic, big cloves, Chillies, red, Onion, big, Tomato, ripe, local, Tamarind, pulp",South India,vegetarian,breakfast,condiment,126.3,3.5,2.2000000000000002,22.4,0.29399999999999998,per 100 g finished dish,200,252.6,7,4.4000000000000004,44.8,0.58799999999999997,Dosa and tomato chutney combo; per 100 g finished dish.
Ghee Dosa,"Rice, raw, milled, Black gram, dal, Table salt (sodium from NaCl), Water, Ghee",South India,vegetarian,breakfast,main,140.69999999999999,3.8,2.5,25.1,0.29699999999999999,per 100 g finished dish,200,281.39999999999998,7.6,5,50.2,0.59399999999999997,Ghee dosa standardized from dosa-style batter; per 100 g finished dish.
Idiyappam,"Rice, raw, milled, Table salt (sodium from NaCl), Water",South India,vegetarian,breakfast,main,111.4,2.5,0.2,24.4,0.29599999999999999,per 100 g finished dish,200,222.8,5,0.4,48.8,0.59199999999999997,String hoppers; per 100 g finished dish.
Idiyappam + Vegetable Kurma,"Water, Table salt (sodium from NaCl), Rice, raw, milled, Garlic, big cloves, Gingelly oil, Carrot, orange, Potato, brown skin, big, Turmeric powder, Peas, fresh, Tomato, ripe, local, Coconut, kernel, fresh, Chillies, green - all varieties, Ginger, fresh, Cumin seeds, Onion, big, French beans, country",South India,vegetarian,breakfast,main,85.9,1.9,1.4,15.9,0.25,per 100 g finished dish,200,171.8,3.8,2.8,31.8,0.5,Idiyappam and vegetable kurma combo; per 100 g finished dish.
